item,quantity,cost per,cost total,vendor,link,,
"Renogy 28in Adjustable Solar Panel Mount Brackets, with Foldable Tilt Legs on Any Flat Surface for RV, Roof, Boat, Any Off-Grid Systems",2,29.99,59.98,amazon,https://www.amazon.com/Renogy-Adjustable-Solar-Panel-Brackets/dp/B07CSKFWK7/ref=sr_1_5?crid=2LDK13EMLJSRK&keywords=solar+panel+mount+bracket&qid=1686959151&s=lawn-garden&sprefix=solar+panel+mount+bracke%2Clawngarden%2C136&sr=1-5,,
Renogy 50 Watt 12 Volt Monocrystalline Solar Panel (Compact Design),2,55.99,111.98,amazon,https://www.amazon.com/gp/product/B07GTH79JP/?th=1,,
"FLASLD Large Fireproof Lipo Bag for 100Ah Lithium Battery Storage and Charging, 14 x 7.8 x 9.5in Waterproof Box for Documents and Valuables",1,26.99,26.99,amaznon,https://www.amazon.com/FLASLD-Fireproof-Waterproof-Documents-Valuables/dp/B0B1VV2CBD?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A2ALSQ2QMV8GYY&th=1,,
"BtrPower 12V 100AH Lithium Battery,5000+ Deep Cycle LiFePO4 Battery with Built-in 100A BMS fit for Home Storage,Trolling Motor,RV,Off-Grid System,Solar Power System,Marine",1,$289.00,289.00,amazon,https://www.amazon.com/dp/B09S5LVMPH/ref=emc_b_5_t?th=1,,
Eiotclub USA 5G LTE Cellular Data Prepaid SIM Card - Stay Connected Anywhere with Supported AT&T and T-mobile ,1,5,5,eiotclub,https://www.eiotclub.com/products/4g-lte-prepaid-sim-card-tmobile-att,,
"Emart Heavy Duty Sandbag Photo Studio Weight Bag Saddlebag Design for Photography Stand Light Stand Tripod, Outdoor Patio, Sports, Photo Sets, Film Sets, Live Productions -4 Packs Set",1,$24.96,24.96,amazon,https://www.amazon.com/Sandbag-Studio-Weight-Saddlebag-Photography/dp/B07ZCJ8N3F/r,,
"Impact Air Cushioned Heavy Duty Light Stand, Black - 13' (4m)",1,130.99,130.99,amazon,https://www.amazon.com/Impact-Air-Cushioned-Heavy-Duty-Light-Stand/dp/B006U6NWFS/ref=sr_1_8?crid=3SGYOE7HFDGQ4&dib=eyJ2IjoiMSJ9.pS8NQaC5jPutxmBP_xZJ55uEYZyB1cUYMOpeM7gup9Q1kHGki9KT0FH_Mw4_JPg2CVK4MwmsppccJRniBzvYv0W4rmbCvSvRAILl1mJi5hzE3wc1Lz731mdhxA06II_gM-4PnmJFsuIXt0MUbf0hdnydZfchjiP1no66wOXaRFh6LSy77rwCMYvSES_Gp5WZuiBLMYh5M9KzmfVdrDPjm6-VXQiSSIuRZ9WUCDaCoQYt25WuXmD3hV5sd2uGFLS6Zos44vmmVq4iKgHRqAL0kmN0Hf2KIHge67BP_OeLvt4.BwHuIw4uIMzUs-et13VAqKiDv-yz4I_eXRVIY7IXHSw&dib_tag=se&keywords=Flashpoint+Pro+Air-Cushioned+Heavy-Duty+Light+Stand+%28White%2C+13%27%29&qid=1747781044&s=electronics&sprefix=flashpoint+pro+air-cushioned+heavy-duty+light+stand+white%2C+13%27+%2Celectronics%2C111&sr=1-8,,
"TICONN Waterproof Electrical Junction Box IP67 ABS Plastic Enclosure with Hinged Cover with Mounting Plate, Wall Brackets, Cable Glands (Clear, 8.7""x6.7""x4.3"")",1,$24.26,24.26,amazon,https://www.amazon.com/TICONN-Waterproof-Electrical-Junction-Enclosure/dp/B0B87V7QTH/ref=sr_1_1_sspa?crid=1ONYWXUIEZO25&keywords=clear%2Bplastic%2Bjunction%2Bbox&qid=1696635928&s=hi&sprefix=clear%2Bplastic%2Bjunction%2Bbox%2Ctools%2C104&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,,
"Renogy Wanderer Li 30A 12V PWM Negative Ground Solar Charge Controller Solar Panel Regulator w/ Temp Sensor Function Fit for Lithium, Sealed, Gel, and Flooded Batteries, Wanderer Li 30A",1,22.48,22.48,amazon,https://www.amazon.com/Renogy-Charge-Controller-Compatible-batteries/dp/B07G1PL1B9/ref=asc_df_B07G1PL1B9/?tag=hyprod-20&linkCode=df0&hvadid=241963226348&hvpos=&hvnetw=g&hvrand=12074909172781312267&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1014218&hvtargid=pla-490487141973&th=1,,
uxcell Voltage Converter Regulator DC/DC DC 12V Step-Up to DC 48V 2A 96W Power Boost Transformer Waterproof ,1,17.99,17.99,amazon,https://www.amazon.com/uxcell-Converter-Regulator-Transformer-Waterproof/dp/B01MTNLW8D/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FC7UxFPIVZCqf78f00tolnRD5lL_yDGK_M-7t7BjNLpZpcdG7xtrhH3eTz6I17cg8qxfMaXLQdb9QahtXmpx0NNNsyeuWdoNk120BRImLRlIrbsKcgeNkRrg3Zy1iZCz4Cxo8fl2epD4zllIcj_xOwJUoy2QhImJGylls9KVvx42QryttOkm6Ps2OH8ixUlHAdz7IO8WUJYDtMIdCFaHvekYlTrXkXx0Po4I2jX_P0E.8t3s4aiBEOTxK_6c3g_jV5MQcE62MS8Qu-dx2AUCc4M&dib_tag=se&keywords=12+to+48+volt+step+up+converter&qid=1757116881&sr=8-5,,
RAKwireless WisGate Edge Pro 8 or 16 channel Outdoor LoRaWAN Gateway RAK7289CV2 US915 LTE (EG95-NA),1,$525.00,525.00,rokland,https://store.rokland.com/products/rakwireless-wisgate-edge-pro-16-channel-outdoor-lorawan-gateway-rak7289cv2-us915-lte-eg95-na?variant=42029522780243,,
RAKwireless 5.8 dBi Outdoor Fiberglass Helium Hotspot Antenna US 868/915 MHz,1,$44.97,44.97,rokland,https://store.rokland.com/products/rak-wireless-5-8-dbi-outdoor-black-fiberglass-helium-hotspot-antenna?currency=USD&utm_source=google&utm_medium=cpc&utm_campaign=google%2Bshopping&gad_source=1&gad_campaignid=1051542938&gclid=Cj0KCQjw0LDBBhCnARIsAMpYlApjalB3NJ0D9ayUJZ0KLJeoP-A3Iu2eJ5ejb5QUSomjX4cZqLzxcAkaAmfwEALw_wcB,,
