item,quantity,cost per,cost total,vendor,link,
"Renogy 28in Adjustable Solar Panel Mount Brackets, with Foldable Tilt Legs on Any Flat Surface for RV, Roof, Boat, Any Off-Grid Systems",2,29.99,59.98,amazon,https://www.amazon.com/Renogy-Adjustable-Solar-Panel-Brackets/dp/B07CSKFWK7/ref=sr_1_5?crid=2LDK13EMLJSRK&keywords=solar+panel+mount+bracket&qid=1686959151&s=lawn-garden&sprefix=solar+panel+mount+bracke%2Clawngarden%2C136&sr=1-5,
Renogy 50 Watt 12 Volt Monocrystalline Solar Panel (Compact Design),2,55.99,111.98,amazon,https://www.amazon.com/gp/product/B07GTH79JP/?th=1,
"FLASLD Large Fireproof Lipo Bag for 100Ah Lithium Battery Storage and Charging, 14 x 7.8 x 9.5in Waterproof Box for Documents and Valuables",1,26.99,26.99,amazon,https://www.amazon.com/FLASLD-Fireproof-Waterproof-Documents-Valuables/dp/B0B1VV2CBD?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A2ALSQ2QMV8GYY&th=1,
"BtrPower 12V 100AH Lithium Battery,5000+ Deep Cycle LiFePO4 Battery with Built-in 100A BMS fit for Home Storage,Trolling Motor,RV,Off-Grid System,Solar Power System,Marine",1,$289.00,289,amazon,https://www.amazon.com/dp/B09S5LVMPH/ref=emc_b_5_t?th=1,
"PoE Injector - Industrial Gigabit PoE+ Injector IEEE802.3 at 30W Hardened POE Adapter with 12-48V DC Input DIN- Rail, Wall Mount ",1,107,107,amazon,https://www.amazon.com/PoE-Injector-Industrial-IEEE802-3-Hardened/dp/B07TYBHNX1/ref=asc_df_B07TYBHNX1/?tag=hyprod-20&linkCode=df0&hvadid=693611984331&hvpos=&hvnetw=g&hvrand=13408494543371007658&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9061206&hvtargid=pla-903195567288&mcid=09065dbc539f32b0b0c377563c444153&th=1,
"Emart Heavy Duty Sandbag Photo Studio Weight Bag Saddlebag Design for Photography Stand Light Stand Tripod, Outdoor Patio, Sports, Photo Sets, Film Sets, Live Productions -4 Packs Set",1,$24.96,24.96,amazon,https://www.amazon.com/Sandbag-Studio-Weight-Saddlebag-Photography/dp/B07ZCJ8N3F/r,
"Impact Air Cushioned Heavy Duty Light Stand, Black - 13' (4m)",1,130.99,130.99,amazon,https://www.amazon.com/Impact-Air-Cushioned-Heavy-Duty-Light-Stand/dp/B006U6NWFS/ref=sr_1_8?crid=3SGYOE7HFDGQ4&dib=eyJ2IjoiMSJ9.pS8NQaC5jPutxmBP_xZJ55uEYZyB1cUYMOpeM7gup9Q1kHGki9KT0FH_Mw4_JPg2CVK4MwmsppccJRniBzvYv0W4rmbCvSvRAILl1mJi5hzE3wc1Lz731mdhxA06II_gM-4PnmJFsuIXt0MUbf0hdnydZfchjiP1no66wOXaRFh6LSy77rwCMYvSES_Gp5WZuiBLMYh5M9KzmfVdrDPjm6-VXQiSSIuRZ9WUCDaCoQYt25WuXmD3hV5sd2uGFLS6Zos44vmmVq4iKgHRqAL0kmN0Hf2KIHge67BP_OeLvt4.BwHuIw4uIMzUs-et13VAqKiDv-yz4I_eXRVIY7IXHSw&dib_tag=se&keywords=Flashpoint+Pro+Air-Cushioned+Heavy-Duty+Light+Stand+%28White%2C+13%27%29&qid=1747781044&s=electronics&sprefix=flashpoint+pro+air-cushioned+heavy-duty+light+stand+white%2C+13%27+%2Celectronics%2C111&sr=1-8,
"VEVOR NEMA Steel Enclosure, 12 x 10 x 6\'\' NEMA 4X Steel Electrical Box, IP66 Waterproof & Dustproof, Outdoor/Indoor Electrical Junction Box, with Mounting Plate",1,46.99,46.99,vevor,https://www.vevor.com/electrical-enclosure-c_10749/vevor-steel-electrical-box-electrical-enclosure-box-12x10x6-carbon-steel-ip65-p_010902284840,
"Renogy Wanderer Li 30A 12V PWM Negative Ground Solar Charge Controller Solar Panel Regulator w/ Temp Sensor Function Fit for Lithium, Sealed, Gel, and Flooded Batteries, Wanderer Li 30A",1,22.48,22.48,amazon,https://www.amazon.com/Renogy-Charge-Controller-Compatible-batteries/dp/B07G1PL1B9/ref=asc_df_B07G1PL1B9/?tag=hyprod-20&linkCode=df0&hvadid=241963226348&hvpos=&hvnetw=g&hvrand=12074909172781312267&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1014218&hvtargid=pla-490487141973&th=1,
DC 12v Step up to 24v Converter Regulator 5A 120W Power Supply Adapter for Motor Car Truck Vehicle Boat Solar System etc.(Accept DC9-20V Inputs) ,1,18.49,18.49,amazon,https://www.amazon.com/Converter-Regulator-Adapter-Vehicle-DC9-20V/dp/B01EFUHFW6/ref=sr_1_10?crid=5M8U85RGOHSF&dib=eyJ2IjoiMSJ9.G97OLsWtykOGSKFEufvqXvA-vjgSGrpNmKyjeI57wavIbAHU50fjNN5tpf-Qp76ojUMZxhieYpBhGN7DRwo3CJZ36MixW6-_c-g3rvdCMR_cuez-9PjgKyQjt4O0-hEW1gautwHy_XmY_mKhAJz7gbXPjiaFbXi_gJUoKJrOWRzxoB2I2Cw40wEAay5VXvALghvsyOmD_3vpgks5PavZIZwgpQjqTrsj_KVEZO2LIMI.JAedeHhNVfHT5v_KrnzLm3EnrOQMHT7yyPJOiOYu4H4&dib_tag=se&keywords=step%2Bup%2Bconverter%2B12v%2Bto%2B24v%2B2a&qid=1758920664&s=financial&sprefix=step%2Bup%2Bconverter%2B12v%2Bto%2B24v%2B2a%2Cfinancial%2C111&sr=1-10&th=1,
airMAX NanoBeam 5AC,1,99,99,ubiquiti,https://store.ui.com/us/en/products/nanobeam-5ac,
